type,id,score,info,name,phone,poi/categorySet/item/0/id,poi/categories/item/0,poi/categories/item/1,poi/classifications/item/0/code,poi/classifications/item/0/names/item/0/nameLocale,poi/classifications/item/0/names/item/0/name,poi/classifications/item/0/names/item/1/nameLocale,poi/classifications/item/0/names/item/1/name,streetNumber,streetName,municipality,countrySecondarySubdivision,countryTertiarySubdivision,countrySubdivision,countrySubdivisionName,postalCode,extendedPostalCode,countryCode,country,countryCodeISO3,freeformAddress,localName,lat,lon,viewport/topLeftPoint/lat,viewport/topLeftPoint/lon,viewport/btmRightPoint/lat,viewport/btmRightPoint/lon,entryPoints/item/0/type,entryPoints/item/0/position/lat,entryPoints/item/0/position/lon,poi/url,address/municipalitySubdivision,poi/brands/item/0/name
POI,US/POI/p1/1338814,2.1455800533294678,search:ta:840259000772156-US,Quality Mart,+(1)-(413)-7838167,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,1352,Allen St,Springfield,Hampden,Springfield,MA,Massachusetts,01118,011182526,US,United States,USA,"1352 Allen St, Springfield, MA 01118",Springfield,42.09398,-72.51515,42.09488,-72.51636,42.09308,-72.51394,main,42.0943,-72.5153,www.qualitymart.com,,
POI,US/POI/p1/1343934,2.1455800533294678,search:ta:840251000542096-US,481 Yogi Convenience Store,+(1)-(508)-2340009,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,218,Church Ave,Northbridge,Worcester,Northbridge,MA,Massachusetts,01534,015341247,US,United States,USA,"218 Church Ave, Northbridge, MA 01534",Northbridge,42.15086,-71.64396,42.15176,-71.64517,42.14996,-71.64275,main,42.15086,-71.64396,,,
POI,US/POI/p1/1344190,2.1455800533294678,search:ta:840259002270220-US,7-Eleven,+(1)-(508)-8700054,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,2,South St,Westborough,Worcester,Westborough,MA,Massachusetts,01581,015811647,US,United States,USA,"2 South St, Westborough, MA 01581",Westborough,42.26935,-71.6124,42.27025,-71.61362,42.26845,-71.61118,main,42.26933,-71.61275,https://www.7-eleven.com/locations/ma/westborough/2-south-st-34430,,7-Eleven
POI,US/POI/p1/1345214,2.1455800533294678,search:ta:840251000501927-US,Country Farms,+(1)-(508)-4970908,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,3,Cedar St,Hopkinton,Middlesex,Hopkinton,MA,Massachusetts,01748,,US,United States,USA,"3 Cedar St, Hopkinton, MA 01748",Hopkinton,42.2291,-71.52233,42.23,-71.52354,42.2282,-71.52112,main,42.22911,-71.52225,www.gulfoil.com,,
POI,US/POI/p1/9725374,2.1455800533294678,search:ta:840441000077075-US,Darlington Market,+(1)-(401)-7235710,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,614,Central Ave,Pawtucket,Providence,Pawtucket,RI,Rhode Island,02861,028615921,US,United States,USA,"614 Central Ave, Pawtucket, RI 02861",Pawtucket,41.88689,-71.3596,41.88779,-71.36081,41.88599,-71.35839,main,41.88666,-71.35952,,,
POI,US/POI/p0/1452350,2.1455700397491455,search:ta:840259000422008-US,Richdale Convenience Store,+(1)-(978)-8915368,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,352,Washington Street,Haverhill,Essex,Haverhill,MA,Massachusetts,01832,018325336,US,United States,USA,"352 Washington Street, Haverhill, MA 01832",Haverhill,42.77084,-71.09272,42.77174,-71.09395,42.76994,-71.09149,main,42.77095,-71.09276,,,
POI,US/POI/p0/1523518,2.1455700397491455,search:ta:840259002355607-US,Union Street Market,+(1)-(617)-3949243,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,140,Union St,Everett,Middlesex,Everett,MA,Massachusetts,02149,021494801,US,United States,USA,"140 Union St, Everett, MA 02149",Everett,42.40475,-71.04128,42.40565,-71.0425,42.40385,-71.04006,main,42.40458,-71.04136,,,
POI,US/POI/p0/1524286,2.1455700397491455,search:ta:840259000109712-US,Food Land,+(1)-(781)-2290108,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,120,Cambridge St,Burlington,Middlesex,Burlington,MA,Massachusetts,01803,018034117,US,United States,USA,"120 Cambridge St, Burlington, MA 01803",Burlington,42.49997,-71.19402,42.50087,-71.19524,42.49907,-71.1928,main,42.49982,-71.19428,,,
POI,US/POI/p0/1527102,2.1455700397491455,search:ta:840259001175473-US,Joe's Bargains & Discounts,+(1)-(508)-9956500,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,1894,Acushnet Ave,New Bedford,Bristol,New Bedford,MA,Massachusetts,02746,027462109,US,United States,USA,"1894 Acushnet Ave, New Bedford, MA 02746",New Bedford,41.67255,-70.92473,41.67345,-70.92593,41.67165,-70.92353,main,41.6726,-70.92484,,,
POI,US/POI/p0/4065470,2.1455700397491455,search:ta:840099000210072-US,One Stop Convenience,+(1)-(860)-8991503,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,161,Whitney Street,Hartford,Hartford,Hartford,CT,Connecticut,06105,061052268,US,United States,USA,"161 Whitney Street, Hartford, CT 06105",Hartford,41.77183,-72.71201,41.77273,-72.71322,41.77093,-72.7108,main,41.77182,-72.71184,,West End,
POI,US/POI/p0/4066110,2.1455700397491455,search:ta:840099000173021-US,Papayo Grocery,+(1)-(860)-7279061,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,215,Capen Street,Hartford,Hartford,Hartford,CT,Connecticut,06120,061202071,US,United States,USA,"215 Capen Street, Hartford, CT 06120",Hartford,41.78588,-72.68268,41.78678,-72.68389,41.78498,-72.68147,main,41.78603,-72.68263,,Northeast,
POI,US/POI/p0/4136254,2.1455700397491455,search:ta:840099001177190-US,Alltown,,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,,Rt 15,North Haven,New Haven,North Haven,CT,Connecticut,06473,,US,United States,USA,"Rt 15, North Haven, CT 06473",North Haven,41.39821,-72.86888,41.39911,-72.87008,41.39731,-72.86768,main,41.39824,-72.8689,,,
POI,US/POI/p0/4151614,2.1455700397491455,search:ta:840099000064857-US,Addeos,+(1)-(203)-9221988,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,97,Center Street,Shelton,Fairfield,Shelton,CT,Connecticut,06484,,US,United States,USA,"97 Center Street, Shelton, CT 06484",Shelton,41.316,-73.09448,41.3169,-73.09568,41.3151,-73.09328,main,41.31568,-73.09457,,,
POI,US/POI/p0/4152894,2.1455700397491455,search:ta:840099000089803-US,The Daily Grind,+(1)-(203)-7572222,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,167,E Main St,Waterbury,New Haven,Waterbury,CT,Connecticut,06702,067022313,US,United States,USA,"167 E Main St, Waterbury, CT 06702",Waterbury,41.5558,-73.04001,41.5567,-73.04121,41.5549,-73.03881,main,41.5551,-73.03803,,Waterbury Central Business District,
POI,US/POI/p0/4155710,2.1455700397491455,search:ta:840091000293771-US,Ayometla Grocery,+(1)-(203)-7522525,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,554,Ferry St,New Haven,New Haven,New Haven,CT,Connecticut,06513,065133053,US,United States,USA,"554 Ferry St, New Haven, CT 06513",New Haven,41.31481,-72.89709,41.31571,-72.89829,41.31391,-72.89589,main,41.31483,-72.8969,,Fair Haven,
POI,US/POI/p0/9745470,2.1455700397491455,search:ta:840449000322236-US,Cumberland Farms,+(1)-(401)-4342245,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,2812,Pawtucket Ave,East Providence,Providence,East Providence,RI,Rhode Island,02915,029154911,US,United States,USA,"2812 Pawtucket Ave, East Providence, RI 02915",East Providence,41.79776,-71.36312,41.79866,-71.36433,41.79686,-71.36191,main,41.79785,-71.36344,,,Cumberland Farms
POI,US/POI/p1/1167166,2.1455700397491455,search:ta:840259002389612-US,Richdale Food Stores,,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,,Chickering Rd,North Andover,Essex,North Andover,MA,Massachusetts,01845,018455199,US,United States,USA,"Chickering Rd, North Andover, MA 01845",North Andover,42.67956,-71.12393,42.68046,-71.12515,42.67866,-71.12271,main,42.67962,-71.12413,,,
POI,US/POI/p1/1171646,2.1455700397491455,search:ta:840259001098718-US,7-Eleven,+(1)-(508)-7711297,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,696,Yarmouth Rd,Barnstable Town,Barnstable,Barnstable Town,MA,Massachusetts,02601,026012090,US,United States,USA,"696 Yarmouth Rd, Barnstable Town, MA 02601",Barnstable Town,41.67138,-70.26757,41.67228,-70.26877,41.67048,-70.26637,main,41.6714,-70.26763,www.7-eleven.com,Hyannis,7-Eleven
POI,US/POI/p1/1172542,2.1455700397491455,search:ta:840259002295821-US,Village Variety,+(1)-(978)-4541315,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,1301,Pawtucket Blvd,Lowell,Middlesex,Lowell,MA,Massachusetts,01854,018541816,US,United States,USA,"1301 Pawtucket Blvd, Lowell, MA 01854",Lowell,42.6462,-71.37682,42.6471,-71.37804,42.6453,-71.3756,main,42.64612,-71.37713,,Pawtucketville,
POI,US/POI/p1/4155198,2.1455700397491455,search:ta:840091000220571-US,Star Food Market,+(1)-(860)-3568000,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,124,Jubilee St,New Britain,Hartford,New Britain,CT,Connecticut,06051,060512453,US,United States,USA,"124 Jubilee St, New Britain, CT 06051",New Britain,41.66922,-72.76093,41.67012,-72.76213,41.66832,-72.75973,main,41.66902,-72.76089,,,
POI,US/POI/p1/4166718,2.1455700397491455,search:ta:840099000559141-US,Casa Latina Convenience Ma,+(1)-(860)-4889515,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,12,Bridge St,New Milford,Litchfield,New Milford,CT,Connecticut,06776,067763528,US,United States,USA,"12 Bridge St, New Milford, CT 06776",New Milford,41.57522,-73.41384,41.57612,-73.41504,41.57432,-73.41264,main,41.57552,-73.41402,,,
POI,US/POI/p1/9617214,2.1455700397491455,search:ta:840339000126594-US,Bellavance Beverage Co,+(1)-(603)-8829722,9361066,shop,wholesale clubs,SHOP,en-US,shop,en-US,wholesale clubs,120,Northwest Blvd,Nashua,Hillsborough,Nashua,NH,New Hampshire,03063,030634006,US,United States,USA,"120 Northwest Blvd, Nashua, NH 03063",Nashua,42.79254,-71.54038,42.79344,-71.54161,42.79164,-71.53915,main,42.79297,-71.5413,www.bellavancebev.com,,
POI,US/POI/p0/1362398,2.1455600261688232,search:ta:840259000057628-US,Downtown Market,+(1)-(781)-5817082,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,132,Munroe St,Lynn,Essex,Lynn,MA,Massachusetts,01901,019011214,US,United States,USA,"132 Munroe St, Lynn, MA 01901",Lynn,42.46383,-70.94581,42.46473,-70.94703,42.46293,-70.94459,main,42.4637,-70.9457,,,
POI,US/POI/p0/1447390,2.1455600261688232,search:ta:840251000567390-US,The Lucky 7,+(1)-(978)-4744110,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,200,Brickstone Sq,Andover,Essex,Andover,MA,Massachusetts,01810,,US,United States,USA,"200 Brickstone Sq, Andover, MA 01810",Andover,42.67457,-71.14598,42.67547,-71.1472,42.67367,-71.14476,main,42.67509,-71.14631,,,
POI,US/POI/p0/1453790,2.1455600261688232,search:ta:840251000503107-US,Convenience Station,+(1)-(978)-3721872,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,105,White St,Haverhill,Essex,Haverhill,MA,Massachusetts,01830,018305738,US,United States,USA,"105 White St, Haverhill, MA 01830",Haverhill,42.77973,-71.07957,42.78063,-71.0808,42.77883,-71.07834,main,42.77984,-71.07963,,,
POI,US/POI/p0/1454142,2.1455600261688232,search:ta:840251000541922-US,7-Eleven,+(1)-(781)-2464755,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,193,Albion St,Wakefield,Middlesex,Wakefield,MA,Massachusetts,01880,018803171,US,United States,USA,"193 Albion St, Wakefield, MA 01880",Wakefield,42.50075,-71.07686,42.50165,-71.07808,42.49985,-71.07564,main,42.50057,-71.07654,www.7-eleven.com,,7-Eleven
POI,US/POI/p0/1503198,2.1455600261688232,search:ta:840259001120121-US,7-Eleven,+(1)-(781)-5931867,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,625,Boston St,Lynn,Essex,Lynn,MA,Massachusetts,01905,019052090,US,United States,USA,"625 Boston St, Lynn, MA 01905",Lynn,42.46373,-70.97634,42.46463,-70.97756,42.46283,-70.97512,main,42.46361,-70.97631,www.7-eleven.com,,7-Eleven
POI,US/POI/p0/1503966,2.1455600261688232,search:ta:840259001933901-US,Julio's Convenience,+(1)-(978)-2080270,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,140,Water St,Lawrence,Essex,Lawrence,MA,Massachusetts,01841,018414722,US,United States,USA,"140 Water St, Lawrence, MA 01841",Lawrence,42.69947,-71.17149,42.70037,-71.17271,42.69857,-71.17027,main,42.6996,-71.17167,,,
POI,US/POI/p0/1507294,2.1455600261688232,search:ta:840259000776081-US,Moon M Mart,+(1)-(774)-2033589,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,83,Pleasant St,Attleboro,Bristol,Attleboro,MA,Massachusetts,02703,027032305,US,United States,USA,"83 Pleasant St, Attleboro, MA 02703",Attleboro,41.94698,-71.27968,41.94788,-71.28089,41.94608,-71.27847,main,41.94698,-71.27968,,,
POI,US/POI/p0/1511646,2.1455600261688232,search:ta:840259001033661-US,ARA Convenience,+(1)-(413)-7460868,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,560,State St,Springfield,Hampden,Springfield,MA,Massachusetts,01109,,US,United States,USA,"560 State St, Springfield, MA 01109",Springfield,42.10975,-72.57387,42.11065,-72.57508,42.10885,-72.57266,main,42.10947,-72.57382,,,
POI,US/POI/p0/1518046,2.1455600261688232,search:ta:840259001089086-US,Georges Variety,+(1)-(508)-6725000,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,337,Globe St,Fall River,Bristol,Fall River,MA,Massachusetts,02724,027242665,US,United States,USA,"337 Globe St, Fall River, MA 02724",Fall River,41.68842,-71.17455,41.68932,-71.17575,41.68752,-71.17335,main,41.68842,-71.17455,,,
POI,US/POI/p0/4071390,2.1455600261688232,search:ta:840099000033628-US,Broad Street Convience,+(1)-(860)-2223530,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,264,Broad St,Norwich,New London,Norwich,CT,Connecticut,06360,063604523,US,United States,USA,"264 Broad St, Norwich, CT 06360",Norwich,41.53175,-72.06979,41.53265,-72.07099,41.53085,-72.06859,main,41.53153,-72.06991,,,
POI,US/POI/p0/4134750,2.1455600261688232,search:ta:840099000587792-US,Indulge Coffee Co,+(1)-(860)-4158575,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,17,High St,Stonington,New London,Stonington,CT,Connecticut,06378,063781226,US,United States,USA,"17 High St, Stonington, CT 06378",Stonington,41.33574,-71.90676,41.33664,-71.90796,41.33484,-71.90556,main,41.33589,-71.90676,,,
POI,US/POI/p0/4145630,2.1455600261688232,search:ta:840099000546179-US,Tropicana Product Sales,+(1)-(203)-2507186,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,615,W Johnson Ave,Cheshire,New Haven,Cheshire,CT,Connecticut,06410,064104529,US,United States,USA,"615 W Johnson Ave, Cheshire, CT 06410",Cheshire,41.55696,-72.91215,41.55786,-72.91335,41.55606,-72.91095,main,41.55689,-72.9109,,,
POI,US/POI/p0/4149214,2.1455600261688232,search:ta:840099000743281-US,Gms Mini Mart,+(1)-(860)-8878611,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,760,N Main St,Norwich,New London,Norwich,CT,Connecticut,06360,063602821,US,United States,USA,"760 N Main St, Norwich, CT 06360",Norwich,41.54331,-72.05463,41.54421,-72.05583,41.54241,-72.05343,main,41.54346,-72.05441,,,
POI,US/POI/p1/1175518,2.1455600261688232,search:ta:840259001014258-US,Osjl Store,+(1)-(508)-8240250,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,70,Taunton Depot Dr,Taunton,Bristol,Taunton,MA,Massachusetts,02780,027806954,US,United States,USA,"70 Taunton Depot Dr, Taunton, MA 02780",Taunton,41.87715,-71.06629,41.87805,-71.0675,41.87625,-71.06508,main,41.87825,-71.06691,,,
POI,US/POI/p1/1188574,2.1455600261688232,search:ta:840259001425838-US,Artisan Beverage Coop,+(1)-(413)-7739700,9361066,shop,wholesale clubs,SHOP,en-US,shop,en-US,wholesale clubs,324,Wells St,Greenfield,Franklin,Greenfield Town,MA,Massachusetts,01301,,US,United States,USA,"324 Wells St, Greenfield, MA 01301",Greenfield,42.60289,-72.6083,42.60379,-72.60952,42.60199,-72.60708,main,42.60299,-72.60702,katalystkombucha.com,,
POI,US/POI/p1/1338590,2.1455600261688232,search:ta:840251000419179-US,Plumtree Marketing,+(1)-(413)-7830188,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,454,Plumtree Rd,Springfield,Hampden,Springfield,MA,Massachusetts,01118,011181626,US,United States,USA,"454 Plumtree Rd, Springfield, MA 01118",Springfield,42.09833,-72.53144,42.09923,-72.53265,42.09743,-72.53023,main,42.09809,-72.53128,,,
POI,US/POI/p1/4153822,2.1455600261688232,search:ta:840099000500404-US,Cindy Market,+(1)-(203)-5741486,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,874,N Main St,Waterbury,New Haven,Waterbury,CT,Connecticut,06704,067043514,US,United States,USA,"874 N Main St, Waterbury, CT 06704",Waterbury,41.5644,-73.03037,41.5653,-73.03157,41.5635,-73.02917,main,41.56448,-73.03048,,,
POI,US/POI/p1/4155454,2.1455600261688232,search:ta:840099001220653-US,Dollar City,,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,,,Hamden,New Haven,Hamden,CT,Connecticut,06514,,US,United States,USA,"Hamden, CT 06514",Hamden,41.36266,-72.92331,41.36356,-72.92451,41.36176,-72.92211,main,41.36251,-72.92337,,,
POI,US/POI/p1/4157150,2.1455600261688232,search:ta:840099000272202-US,Country Marketplace,+(1)-(860)-8484700,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,1224,Old Colchester Rd,Oakdale,New London,Montville,CT,Connecticut,06370,063701672,US,United States,USA,"1224 Old Colchester Rd, Oakdale, CT 06370",Oakdale,41.47561,-72.19038,41.47651,-72.19158,41.47471,-72.18918,main,41.47575,-72.19023,Mobil.com,,
POI,US/POI/p1/4162526,2.1455600261688232,search:ta:840099001188703-US,Garys Grocerys,+(1)-(860)-4544918,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,76,Union St,Rockville,Tolland,Vernon,CT,Connecticut,06066,060663159,US,United States,USA,"76 Union St, Rockville, CT 06066",Rockville,41.86728,-72.4531,41.86818,-72.45431,41.86638,-72.45189,main,41.8672,-72.45318,,,
